feature,importance
categorical__driver_nationality_Venezuelan,0.00018264640579708144
categorical__circuit_country_UAE,0.00017461814521566594
categorical__driver_nationality_Japanese,0.00017326878845308965
categorical__constructor_nationality_Spanish,0.00016796714233823428
categorical__driver_name_Pastor Maldonado,0.00016658423268952466
categorical__circuit_country_USA,0.00015408232254561597
categorical__circuit_country_Austria,0.00014748700607290007
categorical__circuit_name_Korean International Circuit,0.00013858245846057468
categorical__driver_name_Timo Glock,0.00013296399332237723
categorical__driver_name_Max Verstappen,0.00013088598575724473
categorical__circuit_country_India,0.00011387103674223204
categorical__circuit_country_Turkey,0.00010879236568691192
categorical__constructor_nationality_Russian,0.00010798708105480994
categorical__circuit_name_Buddh International Circuit,9.605996732512309e-05
categorical__circuit_name_Red Bull Ring,9.461803326975572e-05
categorical__circuit_name_Istanbul Park,8.910330846768895e-05
categorical__circuit_name_NÌ_rburgring,8.796672474043221e-05
categorical__driver_nationality_Dutch,8.41132081832465e-05
categorical__driver_name_Vitaly Petrov,7.680968531577893e-05
categorical__circuit_name_Fuji Speedway,6.905492811175929e-05
categorical__driver_name_Giancarlo Fisichella,6.342962010018681e-05
categorical__constructor_name_Caterham,5.671415448657476e-05
categorical__circuit_name_Circuit de Nevers Magny-Cours,4.886508947751679e-05
categorical__constructor_name_Lotus,4.302834412502145e-05
categorical__circuit_name_AutÌ_dromo Hermanos RodrÌ_guez,4.2580049709573564e-05
categorical__constructor_name_Manor Marussia,4.019053797153922e-05
categorical__circuit_country_Azerbaijan,3.91675888067836e-05
categorical__constructor_name_Virgin,3.858897923921382e-05
categorical__circuit_name_Baku City Circuit,3.811043151558762e-05
categorical__circuit_country_Mexico,3.808207884891398e-05
categorical__driver_name_Paul di Resta,3.6611923845873566e-05
categorical__driver_name_Esteban GutiÌ©rrez,3.651030909933355e-05
categorical__driver_name_Kamui Kobayashi,2.959693580759493e-05
categorical__driver_nationality_Danish,2.795336932372344e-05
categorical__driver_name_Carlos Sainz,1.5268587835566394e-05
categorical__driver_name_Kevin Magnussen,1.4687476275095694e-05
categorical__driver_nationality_Swiss,1.0919996320213272e-05
categorical__circuit_country_France,1.0238403227199051e-05
categorical__driver_name_SÌ©bastien Bourdais,8.761274310491048e-06
categorical__driver_name_Kazuki Nakajima,7.998638005614455e-06
categorical__constructor_name_Marussia,4.489680034560348e-06
categorical__driver_nationality_Swedish,2.7005794780095926e-06
categorical__driver_name_Jean-Ìäric Vergne,7.197889241906755e-07
categorical__driver_name_Marcus Ericsson,6.735623072764112e-07
categorical__constructor_name_Haas F1 Team,4.551500409426127e-07
categorical__driver_nationality_Indian,3.631539235804509e-07
categorical__driver_name_Jaime Alguersuari,2.600778148906532e-07
categorical__driver_name_Max Chilton,1.4812977729438818e-07
categorical__driver_name_Bruno Senna,1.0364536305859572e-07
categorical__driver_name_Felipe Nasr,6.628532489493798e-08
categorical__constructor_nationality_American,1.7660343829345355e-17
categorical__driver_name_Karun Chandhok,7.218743349147974e-18
categorical__driver_name_Lucas di Grassi,4.365055291517046e-18
categorical__driver_name_Pedro de la Rosa,1.5340886425832423e-18
categorical__driver_name_Jules Bianchi,9.748307915890073e-19
categorical__driver_name_Rio Haryanto,7.622151834296474e-19
categorical__driver_name_SÌ©bastien Buemi,6.203823408198856e-19
categorical__driver_name_Vitantonio Liuzzi,4.443589023839888e-19
categorical__driver_name_Giedo van der Garde,2.1287394172688335e-19
categorical__driver_name_Jolyon Palmer,1.785996552832553e-19
categorical__driver_name_Pascal Wehrlein,1.3058660635999516e-19
categorical__driver_name_Will Stevens,4.931388425178754e-20
numeric__alt,0.0
categorical__driver_name_Alexander Rossi,0.0
categorical__driver_name_Esteban Ocon,0.0
categorical__driver_name_Narain Karthikeyan,0.0
categorical__driver_name_Luca Badoer,0.0
categorical__driver_name_JÌ©rÌ«me d'Ambrosio,0.0
categorical__driver_name_Anthony Davidson,0.0
categorical__driver_name_AndrÌ© Lotterer,0.0
categorical__driver_name_Christian Klien,0.0
categorical__driver_name_Charles Pic,0.0
categorical__driver_name_Takuma Sato,0.0
categorical__constructor_name_Super Aguri,0.0
categorical__driver_name_Stoffel Vandoorne,0.0
categorical__driver_name_Roberto Merhi,0.0
categorical__driver_name_Sakon Yamamoto,0.0
categorical__driver_nationality_American,0.0
categorical__driver_nationality_Indonesian,0.0
categorical__driver_nationality_Austrian,0.0
categorical__driver_nationality_Belgian,0.0
